City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Havelock,US,34.8791,-76.9013,80.55,92,75,1.99,broken clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,87,90,9.22,light rain
81,Husavik,IS,66.0449,-17.3389,52.12,90,80,2.86,broken clouds
82,Camacha,PT,33.0833,-16.3333,69.22,73,40,10.36,scattered clouds
83,Taoudenni,ML,22.6783,-3.9836,94.41,32,86,12.17,overcast clouds
84,Margate,GB,51.3813,1.3862,61.03,75,100,1.99,overcast clouds
85,Hermanus,ZA,-34.4187,19.2345,56.89,87,2,9.08,clear sky
86,Palu,ID,-0.8917,119.8707,76.6,92,99,2.66,light rain
87,Tasiilaq,GL,65.6145,-37.6368,46.56,82,100,2.53,overcast clouds
88,Moranbah,AU,-22.0016,148.0466,68.7,33,1,3.49,clear sky
89,Sorong,ID,-0.8833,131.25,79.63,83,56,6.4,broken clouds
90,Fereydun Kenar,IR,36.6864,52.5225,80.26,71,98,4.07,overcast clouds
91,Anori,BR,-3.7728,-61.6442,80.06,56,66,3.18,broken clouds
92,Longfeng,CN,46.55,125.1167,67.6,98,100,9.01,heavy intensity rain
93,Portland,US,45.5234,-122.6762,99.16,40,45,1.99,scattered clouds
94,Along,IN,28.1667,94.7667,73.31,98,97,2.08,overcast clouds
95,Serebryansk,KZ,49.6925,83.2892,53.15,62,2,1.01,clear sky
96,Nhulunbuy,AU,-12.2333,136.7667,77.61,78,76,4.61,broken clouds
97,Fort Nelson,CA,58.8053,-122.7002,76.59,69,40,2.3,smoke
98,Hualmay,PE,-11.0964,-77.6139,64.87,80,7,10.76,clear sky
99,Emba,KZ,48.8264,58.1442,80.69,27,36,5.88,scattered clouds
100,Campoverde,PE,-8.4753,-74.8058,83.89,54,2,3.51,clear sky
101,Merauke,ID,-8.4667,140.3333,76.06,75,52,11.92,broken clouds
102,Teguise,ES,29.0605,-13.564,68.22,78,20,17.27,few clouds
103,Kamenka,RU,51.3223,42.7678,74.95,46,24,4.14,few clouds
104,Khovu-Aksy,RU,51.1333,93.6,52.79,64,5,4.23,clear sky
105,Miraflores,MX,19.2167,-98.8083,75.85,86,93,0.78,overcast clouds
106,Chokurdakh,RU,70.6333,147.9167,50.05,47,62,9.42,broken clouds
107,Waingapu,ID,-9.6567,120.2641,76.44,82,79,8.19,broken clouds
108,Susanville,US,40.4163,-120.653,95.09,15,1,3.0,clear sky
109,Torbay,CA,47.6666,-52.7314,64.76,76,100,7.0,overcast clouds
110,Paramonga,PE,-10.6667,-77.8333,65.32,80,14,10.16,few clouds
